Production_company,Average number of votes
ACASA ESANA Pictures	170.0
ACE	438.0
ACG Motion Picture Investment Fund	1700.0
ACH	453.6
ADC Films	6852.5
ADCB Films	1128.0
ADM Films Department	3949.0
ADO Entertainment	1088.0
ADPProductions	4165.0
ADR Productions	307.8
ADV Films	963.25
AEC	2522.0
AF Production	2014.0
AFC	560.8333333333334
AFCL Productions	307.6666666666667
AFDF	2021.0
AFRA Film Enterprises	483.0
AGH Productions	284.0
AIC Animate Film	248.0
AII	1446.0
AITD Productions	40764.0
AJ Productions	1593.0
AK Entertainments	201.0
AKA Pictures	397.0
AKS Co.	284.0
ALCE Producciones	998.0
ALEF Film & Media Group	3184.0
AM Associates	161460.0
AM Productions	259.0
AM/PM Entertainment	953.0
AMBL Productions	1064.0
AMC Pictures	9631.333333333334
AMCO Entertainment Group	310.5
AMIB Productions	20010.0
AMKO Productions Inc.	704.6666666666666
AMLF	35697.09090909091
ANA Productions	747.0
ANJS	5065.0
ANOC Productions	725.5
ANS Production	7194.0
ANS	1262.0
APB Pictures	1355.0
APC	472.0
APF	325.0
APJAC Productions	55625.0
APT Films	3516.6666666666665
APU Studio	368.0
AQ Films	1593.0
AQS	7062.0
AR Content	1618.0
AR.TE.AS Film	3923.0
ARD Degeto Film	1126.3333333333333
ARK-Film	2182.0
ARM/Cinema 25 Pictures Inc.	144.0
ARMS GmbH	1464.0
ARP S̩lection	8232.947368421053
ARRI Film + TV	755.5
ARS Film Production	3559.0
ARS	371.0
ART&A	1004.0
ARTE	517.4705882352941
ARTO-pelli Motion Pictures III Inc.	279.0
AS Films S.A.	359.0
AS Productions	808.0
ASA Communications	113.0
ASA Film Produktion ApS	486.14285714285717
ASA Film	111.0
ASA Filmudlejning	175.0
ASA Production & Enterprises	2591.0
ASA Productions	550.0
ASK Eurofilm	1485.0
ASL Film	150.0
ASQA Film Partnership	1667.0
ASUM	142.0
ATA Cine TV Produzione	171.0
ATC 3000	671.5
ATG Productions	1485.0
ATICA	493.0
ATO Pictures	11828.0
ATR Films	6534.0
ATV Network	106.0
AVRO Television	724.5
AVRO	916.0
AVSP LLC	391.0
AWOL Films Ltd.	595.0
AWV Productions	1980.0
AXIS PLUSZ	379.0
AZ Film Production	516.0
Aafa-Film AG	185.0
Aalayam Cinema	1074.0
Aalayam Productions	10369.0
Aamir Khan Productions	59770.0
Aardvark Films	899.5
Aarohi Film Makers	138.5
Aaron Angela Company	148.0
Aaron Russo Productions	212.0
Aarti Enterprises	1025.0
Aascar Film P.	4151.0
Aashna Arts	356.0
Aasia Films Pvt. Ltd.	721.5
Abacus Productions	692.0
Abandon Entertainment	118718.0
Abandon Pictures	1688.0
Abba Film & Entertaimnent	398.0
Abba Movies Co. Ltd.	3669.6666666666665
Abbas Kiarostami Productions	8335.25
Abbey Films	512.5
Abbott & Costello Productions Inc.	950.0
Abbott Vision	3098.0
Abel & Charton	550.0
Aberdeen	150.0
Abernathy Productions	656.0
Aberto Entertainment	337.0
Abhijatrik	907.0
Abhishek Films	529.0
Abilene	2647.0
Able Danger	114.0
Abnormal Entertainment	187.0
Abnormal Pictures	1522.0
Aboriginal Peoples Television Network	6069.0
Above All Things Inc.	6139.0
Abramoff Production	4121.0
Abruzzo Cinematografica	292.0
Abso Lutely	391.0
Absolute Entertainment (II)	2707.0
Absolute Films Inc.	114.0
Absolutely Productions	423.0
Abtcon Pictures	939.0
Abyss Films	389.0
Abyssa Film	153.0
Abyssmal Entertainment	730.0
Ab̼ Media	104.0
Acaba Produzioni	174.0
Academy Entertainment	1240.0
Academy Features	891.0
Academy Photoplays	294.0
Academy Pictures Corporation	9392.5
Academy Pictures	2920.3333333333335
Academy Productions	1266.0
Academy of Media Arts Cologne	100.0
Academy	656.0
Acar Film	1347.0
Accelerator Films	2424.0
Accent Entertainment Corporation	1114.0
Accent Films B.V.	1262.0
Accent Two	275.0
Accento Films	1221.0
Access Motion Picture Group	4732.0
Access Motion Pictures	2054.6666666666665
Access Pictures	3856.0
Access Productions (II)	122.0
Accomplice Films	449.0
Accord Productions	2483.0
Accorde Filmes	125.0
Accusatory Productions Inc.	793.0
Ace Film	275.0
Ace Movie Company	701.0
Ace Pictures	309.0
Acheron International	203.0
Achille Piazzi Produzioni Cinematografica	392.0
Achilles Films	116.0
Achim Pictures	294.5
Acht Frankfurt	2870.0
Achterbahn AG	1370.5
Acine	123.0
Acorn Pictures	11477.0
Acre Enterprises	486.0
Acrobat Productions	1104.0
Acrobates Film	237.0
Acrobatic Motion Works West	567.0
Act III Communications	368421.0
Act of God Productions	104.0
Actes et Octobre Production	145.0
Acteurs Auteurs Associ̩s (AAA)	282.5
Action Brothers Production	108.0
Action Brothers	373.0
Action Communications	365.0
Action Concept Film- und Stuntproduktion	1248.25
Action Features	4451.0
Action Film AB	2105.0
Action Films	1589.2727272727273
Action International Pictures (AIP)	496.22222222222223
Action Pictures (IV)	712.0
Action Plus Productions Ltd.	145.0
Action Star Pictures	1212.0
Active Entertainment	1116.6
Activist Artists Management	735.0
Actors at Work Productions	2037.0
Actueel Film	131.0
Acuarius Films S.A.	666.5
Acuba Film	250.0
Acuity Pictures Production	1231.0
Ad Gear K.K.	161.0
Ada Films	661.3333333333334
Adagio Films	514.0
Adam & Eve Pictures	2636.0
Adam Packer Film Productions	326.5
Adams Apple Film Company	1273.4
Adams Entertainment Inc.	102.0
Adams Filmi	167.0
Adaptor Moving Pictures	170.0
Adastra	764.0
Added Films	362.0
Addict Films	1163.0
Addis Wechsler Pictures	5067.75
Addison Street Films	1161.0
Adel Productions	1188.2222222222222
Adela Pictures	2686.0
Adelaide Festival of Arts	1474.5
Adelaide Film Festival	252.0
Adelaide Motion Picture Company	660.75
Adelphi Films	336.0
