Paramount Pictures,I'm Dancing as Fast as I Can
Iterfilm,Identificazione di una donna
Cypress Grove,If You Could See What I Hear
Lisa-Film,Im Dschungel ist der Teufel los
One Way Productions,Inchon
Kings Road Entertainment,Incubus
Bold Productions,IngenjÃ¶r AndrÃ©es luftfÃ¤rd
NEF Diffusion,Invitation au voyage
Daiei Studios,Irezumi
Sara Films,J'ai Ã©pousÃ© une ombre
Paramount Pictures,Jekyll and Hyde... Together Again
Herb Jaffe,Jinxed!
TAT Filmproduktion,Julie Darling
H.B. Halicki Mercantile,The Junkman
Nordisk Tonefilm,JÃ¶nssonligan & DynamitHarry
Oase Film Essen,Kamikaze 1989
Neel Kanth Films,Kharij
Twentieth Century Fox,Kiss Me Goodbye
Shaw Brothers,Yin ji
Alphaville S.A.,Laberinto de pasiones
Cannon Films,The Last American Virgin
Shere Productions,Let's Do It!
Company Four,A Little Sex
Adam Packer Film Productions,Lonely Hearts
Authority Films,Lung siu yeh
Seasonal Film Corporation,Long zhi ren zhe
Lorimar Productions,Lookin' to Get Out
The Ladd Company,Love Child
CiP - Europaische Treuhand AG,Love & Money
Beijing Film Studio,Luo tuo Xiang Zi
IndieProd Company Productions,Making Love
Cambridge Productions,The Man from Snowy River
Fulvia Film,Manhattan Baby
Centar Film,Maratonci trce pocasni krug
I.R.I.B. Channel 1,Marg Yazdgerd
Shaw Brothers,Long hu shao ye
TÃ©lÃ©cip,Les maÃ®tres du temps
Golden Harvest Company,Megaforce
Jack Rollins & Charles H. Joffe Productions,A Midsummer Night's Sex Comedy
PolyGram Filmed Entertainment,Missing
G.E.F.,Les misÃ©rables
Lenfilm Studio,Moy drug Ivan Lapshin
Pavilion Films,Monkey Grip
Frank Yablans Presentations,Monsignor
Michael White Productions,Moonlighting
Films A.B.C.,La morte vivante
TÃ©lÃ©ma,Mortelle randonnÃ©e
Metro-Goldwyn-Mayer (MGM),My Favorite Year
In-Cine CompaÃ±Ã­a Industrial CinematogrÃ¡fica,Nacional III
Cannon Group,Nana
Budapest JÃ¡tÃ©kfilmstÃºdiÃ³,NaplÃ³ gyermekeimnek
Toei Company,Narayama bushikÃ´
ABC Motion Pictures,Class Reunion
Filmco Limited,Next of Kin
Major Studio Partners,Night Shift
Opera Film Produzione,La nuit de Varennes
Deaf International,I nuovi barbari
O'Hara Cinema Group,O'Hara's Wife
Lorimar Film Entertainment,An Officer and a Gentleman
Zoetrope Studios,One from the Heart
Golden Films Internacional S.A.,Las orgÃ­as inconfesables de Emmanuelle
Mosfilm,Ostanovilsya poezd
Eli Hollander,Out
Sunn Classic Pictures,P.K. and the Kid
Krost/Chapin Productions,Pandemonium
BalÃ¡zs BÃ©la StÃºdiÃ³,Panelkapcsolat
A.J. Films,Paradis pour tous
Embassy Pictures,Paradise
Embassy Pictures,Parasite
TMS Film GmbH,Parsifal
Paramount Pictures,Partners
Elephant Production,La passante du Sans-Souci
Sara Films,Passion
Bob-Bea Productions,Penitentiary II
Cinesthesia Productions,Permanent Vacation
The Geffen Company,Personal Best
Goldcrest Films International,Pink Floyd: The Wall
Joseph Hamilton International Productions,The Pirate Movie
Nepenthe Productions,The Plague Dogs
Metro-Goldwyn-Mayer (MGM),Poltergeist
Dovzhenko Film Studios,Polyoty vo sne i nayavu
Melvin Simon Productions,Porky's
TF1 Films Production,Pour cent briques t'as plus rien
Platinum Pictures (II),Preppies
HandMade Films,Privates on Parade
Avala Film,Le prix du danger
"ZespÃ³l Filmowy ""X""",Przesluchanie
P.P. Film Polski,Przypadek
Purple Haze,Purple Haze
Trinacra Films,Le pÃ¨re NoÃ«l est une ordure
Arkoff International,Q
Golden Harvest Company,Kei moon duen gap
Planet Film,Querelle
Ansor International,Raw Force
Shaw Brothers,Ren pi deng long
Golden Harvest Company,Ren xia ren
S.F.P.C.,Le retour de Martin Guerre
Barry R. Cooper Productions,The Return of the Soldier
Okada,Hoero tekken
Chartoff-Winkler Productions,Rocky III
International Vision,Ruckus
Film Corporation of Western Australia,Running on Empty
Levy-Gardner-Laven,Safari 3000
Cannon,Sapiches
Savannah Smiles Productions,Savannah Smiles
Oasis Films,The Scarecrow
Yarno Cinematografica,Scusate il ritardo
Aurora,The Secret of NIMH
Embrafilme,O Segredo da MÃºmia
The Romantic Venture,The Seduction
Laura Film,Die Sehnsucht der Veronika Voss
Paramount Pictures,The Sender
Shaw Brothers,Shi ba ban wu yi
Toei Company,Ninja bugeicho momochi sandayu
Metro-Goldwyn-Mayer (MGM),Shoot the Moon
Columbia Pictures,Silent Rage
Twentieth Century Fox,Six Pack
PolyGram Filmed Entertainment,Six Weeks
The International Picture Show Company,The Slayer
Santa Fe Productions,The Slumber Party Massacre
Domestic Productions,Smithereens
James Glickenhaus,The Soldier
Incorporated Television Company (ITC),Sophie's Choice
Warner Bros.,Soup for One
PolyGram Filmed Entertainment,Split Image
Amulet Pictures,Spring Fever
Fulvia Film,Lo squartatore di New York
FilmovÃ© studio Barrandov,SrdecnÃ½ pozdrav ze zemekoule
Crown International Pictures,Stacy's Knights
Gray City,Der Stand der Dinge
Paramount Pictures,Star Trek II: The Wrath of Khan
Palm Beach Pictures,Starstruck
Heron Communications,A Stranger Is Watching
Filmways Pictures,Summer Lovers
Carolco Entertainment,Superstition
ChloÃ« Productions,El sur
Swampfilms,Swamp Thing
Sorcerer Productions,The Sword and the Sorcerer
Golan-Globus Productions,Sword of the Valiant: The Legend of Sir Gawain and the Green Knight
Limelight Productions,Tag: The Assassination Game
Dragon Production,Tekuno porisu 21C
Columbia Pictures,Tempest
Sigma Cinematografica Roma,Tenebre
Art Theatre Guild (ATG),TenkÃ´sei
Lupo-Anthony-Quintano Productions,El tesoro de las cuatro coronas
Walt Disney Productions,Tex
Goldpine Productions,They Call Me Bruce?
Universal Pictures,The Thing
C & C Brown Production,Things Are Tough All Over
Byzantine Productions,Time Walker
Columbia Pictures,Tootsie
Bluebird Movie Enterprises Ltd.,Tau ban no hoi
Paradise Films,Toute une nuit
Columbia Pictures,The Toy
Fiction Cinematografica S.p.a.,La tragedia di un uomo ridicolo
United Artists,Trail of the Pink Panther
Accent Films B.V.,La traviata
Panorama Film A/S,Tre engle og fem lÃ¸ver
Films A2,Les trois couronnes du matelot
Gary Graver Productions,Trick or Treats
Estudios Churubusco Azteca S.A.,Triumphs of a Man Called Horse
Walt Disney Productions,TRON
Gaumont,La truite
Satya Chitra International,Umbartha
ProgÃ©fi,Une chambre en ville
TelevisiÃ³n EspaÃ±ola (TVE),Valentina
Entertainment Artists,The Vals
Sigma Film Productions,Van de koele meren des doods
Morison Film Group,Venom
Twentieth Century Fox,The Verdict
Dynamic,Vice Squad
Metro-Goldwyn-Mayer (MGM),Victor Victoria
Trimurti Films Pvt. Ltd.,Vidhaata
Magnum Motion Pictures,Vigilante
Beatrice Film,Violenza in un carcere femminile
MAFILM ObjektÃ­v FilmstÃºdiÃ³,VisszaesÃ¶k
Mosfilm,Vokzal dlya dvoikh
Nickel Odeon,Volver a empezar
Cinemaster S.r.l.,W la foca
Toei Company,Waga seishun no Arcadia
WingNut Films,Warlords of the 21st Century
Adam Packer Film Productions,We of the Never Never
Central Cinema Company Film (CCC),Die weiÃŸe Rose
Direction du Cinema de Haute Volta,Wend Kuuni
Paramount Pictures,White Dog
Wild Style,Wild Style
Pan Arts,The World According to Garp
Columbia Pictures,Wrong Is Right
Shaw Brothers,Ren zhe wu di
Golden Harvest Company,Xian si jue
Cinema City,Ye jing hun
Diamant Film,Il mondo di Yor
ABC Motion Pictures,Young Doctors in Love
Shaw Brothers,Yu mao san xi jin mao shu
Apple / Rose Productions,Zapped!
France 3 (FR 3),Der Zauberberg
Cinema City & Films Co.,Jui gaai paak dong
Tanagra Productions,Ã‰ducation anglaise
Sara Films,L'Ã©toile du Nord
Aries CinematogrÃ¡fica Argentina,Ãšltimos dÃ­as de la vÃ­ctima
Cannon Films,10 to Midnight
Deaf Internacional Film s.r.l.,1990: I guerrieri del Bronx
Nuova Dania Cinematografica,2019 - Dopo la caduta di New York
National Film Development Corporation,Adi Shankaracharya
Lucille Ball Productions,All the Right Moves
Mano Films,American Nightmare
De Laurentiis Entertainment Group (DEG),Amityville 3-D
Lordon Limited,Angelo My Love
Arma Films,O anthropos me to garyfallo
Neo Films,Ardh Satya
EÃ´s Films,L'argent
2T Produzione Film,Ars amandi
Filmirage,Ator l'invincibile
"ZespÃ³l Filmowy ""Kadr""",Austeria
Nilsen Premiere,BMX Bandits
Double Play,Baby It's You
EMI Films,Bad Boys
Golden Harvest Company,Bai ga jai
CinÃ©production,Le bal
Madhouse,Hadashi no Gen
Bill Osco Productions,The Being
Argos Films,La belle captive
Union GÃ©nÃ©rale CinÃ©matographique (UGC),Benvenuta
Amachi Films,La bestia y la espada mÃ¡gica
Horizon Pictures (II),Betrayal
Paramount Pictures,The Honorary Consul
Mosfilm,Bez svideteley
Faso Film,Bianca
Columbia Pictures,The Big Chill
Big Score Company,The Big Score
Zoetrope Studios,The Black Stallion Returns
Film Accounting Services,Black Venus
Beatrice Film,Blade Violent - I violenti
Film Limited Partnership,Blood Rage
Lantana,Blue Skies Again
Columbia Pictures,Blue Thunder
Golden Harvest Company,Boh ngau
The Jerome Foundation,Born in Flames
JF Productions,Brainstorm
Rob Houwer Productions,Brandende liefde
Breathless Associates,Breathless
JD Productions,Buddies
HandMade Films,Bullshot
Barron Entertainment,Bush Christmas
The Rainbow Film Company,Can She Bake a Cherry Pie?
CinÃ©tÃ©lÃ© Productions,Canicule
Emiliano Piedra,Carmen
National Cinematografica,La casa con la scala nel buio
Heat GBR,Chained Heat
Archerwest,Champions
Shaw Brothers,Zhang men ren
Shanghai Film Studios,Cheng nan jiu shi
Elpico Cinematografica,Chi trova un amico trova un tesoro
Selenia Cinematografica,La chiave
Columbia Pictures,Christine
Metro-Goldwyn-Mayer (MGM),A Christmas Story
Mosfilm,Chuchelo
Televicine International,Circle of Power
Inca Films S.A.,La ciudad y los perros
Orion Pictures,Class
Fideline Films,The ComDads
Clemi Cinematografica,Conquest
Cooperativa Jean Vigo,Copkiller (l'assassino dei poliziotti)
Anem Films,Coto de caza
Partner's Productions,Coup de foudre
Warner Bros.,Smorgasbord
Filmline Productions,Cross Country
Thorn EMI Screen Entertainment,Cross Creek
Sunn Classic Pictures,Cujo
United Artists,Curse of the Pink Panther
Simcom Limited,Curtains
RKO Pictures,D.C. Cab
Cinema City Enterprises,Da cuo che
Dove,Dance of the Dwarfs
Paramount Pictures,Daniel
Channel Four Films,Dans la ville blanche
Dino De Laurentiis Company,The Dead Zone
H.B. Halicki Mercantile,Deadline Auto Theft
Force,Deadly Force
Warner Bros.,Deal of the Century
ABA Productions,Death Screams
Pan American Pictures Corporation,The Dark Side to Love
EMI Films,Handgun
Intercapital,Delitto in Formula Uno
Les Films du Loup,Le dernier combat
New West Films,The Devonsville Terror
Shaw Brothers,Di zi ye feng kuang
Black Rhino Productions,Doctor Detroit
Paloma Films,Don Camillo
Columbia Pictures,The Dresser
Easy Money Associates,Easy Money
Universal Pictures,Eddie Macon's Run
Aurora,Eddie and the Cruisers
Acorn Pictures,Educating Rita
American Playhouse,El Norte
Target Video,Emerald Cities
Tesauro,Entre tinieblas
Les Films du Triangle,ErÃ©ndira
United Artists,Exposed
2T Produzione Film,Il giustiziere della strada
Elysian Pictures,Eyes of Fire
KrÃ¡tkÃ½ Film Praha,Faunovo velmi pozdnÃ­ odpoledne
Sara Films,La femme de mon pote
Immagine S.r.l.,L'ultimo guerriero
Goldmine Company,The First Time
Paramount Pictures,Flashdance
D & P Productions,Get Crazy
Filmslussen,G
Renn Productions,GarÃ§on!
Golden Films Internacional S.A.,Gemidos de placer
Seventh Avenue Films,Getting It On
A.M.A. Film,Una gita scolastica
Afoi Vergeti,Glykia symmoria
El Pico S.A.,Nati con la camicia
R S T Productions,Going Back
Les Productions Mutuelles LtÃ©e,Going Berserk
The Samuel Goldwyn Company,The Golden Seal
Eagle Associates,Gorky Park
Zoetrope Studios,The Grey Fox
Regency Productions,I guerrieri dell'anno 2072
Lo Wei Motion Picture Company,Gui ma tian shi
Central Motion Pictures,Hai tan de yi tian
Dino De Laurentiis Company,Halloween III: Season of the Witch
Zoetrope Studios,Hammett
K.G. Productions,Hanna K.
Aurora,Heart Like a Wheel
Pro-ject Filmproduktion,Die Heartbreakers
SNPC - SocietÃ  Nazionale Produzioni Cinematografiche,Detenute violente
Bioskop Film,Heller Wahn
Kokuei Company,Hentai kazoku: Aniki no yomesan
Cannon Italia Srl,Hercules
City Films,High Road to China
Brady's Run Associates,HosszÃº vÃ¡gta
Frontier Films,Hostage
London-Cannon Films,House of the Long Shadows
VAE Productions,The House on Sorority Row
Central Motion Pictures,Xiao Bi de gu shi
Metro-Goldwyn-Mayer (MGM),The Hunger
I Am the Cheese,I Am the Cheese
Warner Bros.,Independence Day
Leader Films,Gunan il guerriero
National Film Development Corporation of India (NFDC),Jaane Bhi Do Yaaro
Universal Pictures,Jaws 3-D
Evangrove,The Jigsaw Man
Zephyr Productions,Jimmy the Kid
40 Acres & A Mule Filmworks,Joe's Bed-Stuy Barbershop: We Cut Heads
ATC 3000,Joy
Jensen Farley Pictures,Joysticks
Devki Chitra,Katha
Paramount Pictures,The Keep
Maran Film,Kehraus
Shree Bharat Lakhsmi Pictures,Khandhar
Embassy International Pictures,The King of Comedy
Columbia Pictures,Krull
TÃ¡rsulÃ¡s StÃºdiÃ³,Kutya Ã©ji dala
Alamo Films,Last Night at the Alamo
Toei Company,KyÃ´ryÃ» kaichÃ´ no densetsu
Winwood Productions,Lianna
Gaumont,Eine Liebe in Deutschland
Cinetron Productions,Liquid Sky
Enigma Productions,Local Hero
1818 Productions,Lone Wolf McQuade
Harold Robbins International Company,The Lonely Lady
Lo Wei Motion Picture Company,Long teng hu yue
Paramount Pictures,The Lords of Discipline
Tiberius Film Productions,Losin' It
Millenium,Love Letters
The Ladd Company,Lovesick
Gaumont,La lune dans le caniveau
Golden Films Internacional S.A.,Macumba sexual
Delphi Films,The Man Who Loved Women
Paramount Pictures,The Man Who Wasn't There
Flowers International,Man of Flowers
Aspen Film Society,The Man with Two Brains
Blaze Film Enterprises,Mandi
Cerito Films,Le marginal
Astral Bellevue PathÃ©,Maria Chapdelaine
Major Productions,Marvin & Tige
Yash Raj Films,Mashaal
Krsna Films Unit,Masoom
Western International Pictures Inc.,Mausoleum
Twentieth Century Fox,Max Dugan Returns
National Film Trustee Company,Merry Christmas Mr. Lawrence
Sunchild Productions,Merry-Go-Round
Albert Band International Productions Inc.,Metalstorm: The Destruction of Jared-Syn
Reel Life Productions (I),Microwave Massacre
Filmco Limited,Midnite Spares
Shaw Brothers,Mo
Lo Wei Motion Picture Company,Mo tai
Sherwood Productions,Mr. Mom
Aiete Films S.A.,La muerte de Mikel
Marimark Productions,My Tutor
Mosfilm,My iz dzhaza
Tris Film,MystÃ¨re
Fuji Television Network,Nankyoku monogatari
Phillips Whitehouse Productions,Nate and Hayes
Warner Bros.,National Lampoon's Vacation
Walt Disney Pictures,Never Cry Wolf
TaliaFilm II Productions,Never Say Never Again
Universal Pictures,Nightmares
Rai 2,Nostalgia
Now & Forever Film Partnership,Now and Forever
Almena Films,Los nuevos extraterrestres
United Artists,Octopussy
Warner Bros.,Of Unknown Origin
Osterman Weekend Associates,The Osterman Weekend
Zoetrope Studios,The Outsiders
Vides Cinematografica,I paladini - Storia d'armi e d'amori
Les Films Christian Fechner,Papy fait de la rÃ©sistance
A&M Sound Pictures,Party Party
Les Films Ariane,Pauline Ã  la plage
Michael Edgley International,Phar Lap
Ã“palo Films,El pico
Wescom Productions,Pink Motel
Universal Pictures,The Pirates of Penzance
Amulet Pictures,The Pit
Mars Productions,Please Don't Eat the Babies
Goldcrest Films International,The Ploughman's Lunch
Simon / Reeves / Landsburg Productions,Porky's II: The Next Day
Regency Productions,I predatori di Atlantide
T. Films,Premiers dÃ©sirs
Essex Productions (III),The Prey
Marcel/Robertson Productions Limited,Prisoners of the Lost Universe
Unity Productions,Private School
Mark IV Pictures Incorporated,The Prodigal Planet
Toho-Towa,Golgo 13
Trete Tvorcheskoe Obedinenie,Proshchanie
Sara Films,PrÃ©nom Carmen
Universal Pictures,Psycho II
Faso Film,La ragazza di Trieste
Greek Film Center,Rembetiko
Seven Keys,The Return of Captain Invincible
Lucasfilm,Star Wars: Episode VI - Return of the Jedi
Cannon Films,Revenge of the Ninja
The Ladd Company,The Right Stuff
Villealfa Filmproductions,Rikos ja rangaistus
The Geffen Company,Risky Business
Nelvana,Rock & Rule
Metrocolor,Romantic Comedy
Farena Films,Rue barbare
NEF Diffusion,Rue cases nÃ¨gres
Zoetrope Studios,Rumble Fish
Englander Productions,Running Brave
Biro Cinematografica,Rush
Wilderness Family Inc.,Sacred Ground
Poornodaya Movie Creations,Sagara Sangamam
Cabal Film,Sahara
International Dean Film,Sapore di mare
Toho Eizo Co.,Sasameyuki
Kadokawa Haruki Jimusho,Satomi hakken-den
American Partnership,Scalps
Universal Pictures,Scarface
Universum Film (UFA),Der SchnÃ¼ffler
Calendar International Pictures Inc.,Scream
Canadian Film Development,Screwballs
HandMade Films,Scrubbers
Gaumont International,La 7Ã¨me cible
IFD Films & Arts Company,Hong fen bing tuan
Chung Yuen Motion Picture Company,Shao Lin xiao zi
First Films Organisation,Tian shi zhuang xie
Tin Ping Film Company,Shao Lin dou La Ma
Golden Harvest Company,Shu Shan - Xin Shu shan jian ke
ABC Motion Pictures,Silkwood
Per Holst Filmproduktion,SkÃ¸nheden og udyret
FilmovÃ© studio Barrandov,Slavnosti snezenek
American Eagle Films,Sleepaway Camp
Universal Pictures,Smokey and the Bandit Part 3
Walt Disney Productions,Something Wicked This Way Comes
Flora Film,I sopravvissuti della cittÃ  morta
CorporaciÃ³n Nacional CinematogrÃ¡fica (CONACINE),Sorceress
Faso Film,Sotto il vestito niente
Millenium,Space Raiders
Columbia Pictures,Spacehunter: Adventures in the Forbidden Zone
Canadian Film Development (CFDC),Spasms
Columbia Pictures,Spring Break
The Ladd Company,Star 80
Twentieth Century Fox,The Star Chamber
Excelsior Cinematografica,State buoni se potete
Paramount Pictures,Staying Alive
Paramount Pictures,Still Smokin
Sigma Film Productions,De stilte rond Christine M.
Universal Pictures,The Sting II
Faso Film,Storia di Piera
EMI Films,Strange Invaders
Streamers International,Streamers
Universal Pictures,Stroker Ace
Cinema Vehicle Services,Stryker
Warner Bros.,Sudden Impact
Lisa-Film,Sunshine Reggae auf Ibiza
Dovemead Films,Superman III
Lisa-Film,Die Supernasen
Rastar Films,The Survivors
CBS Theatrical Films,Table for Five
23 Giugno,Storie di ordinaria follia
Renn Productions,Tchao pantin
Antron Media Production,Tender Mercies
Paramount Pictures,Terms of Endearment
Paramount Pictures,Testament
European International Films,Thunder
Zoomo Productions,Timerider: The Adventure of Lyle Swann
Four Features Partners,To All a Goodnight
Brooksfilms,To Be or Not to Be
Haruki Kadokawa Films,Toki o kakeru shÃ´jo
Gico Cinematografica S.r.l.,Tornado
American Cinema Productions,Tough Enough
Cinema Group Ventures,Trading Places
Walt Disney Productions,Trenchcoat
FilmovÃ© studio Barrandov,The Three Veterans
Bioskop Film,Tricheurs
San Francisco Film,Tuareg - Il guerriero del deserto
EurocinÃ©,La tumba de los muertos vivientes
Svensk Filmindustri (SF),TvÃ¥ killar och en tjej
Twentieth Century Fox,Two of a Kind
Utu Productions,Utu
Edward Fleming Produktion,De uanstÃ¦ndige
Les Films du Losange,Un jeu brutal
Paramount Pictures,Uncommon Valor
Lion's Gate Films,Under Fire
Kitty Films,Urusei Yatsura 1: Onri yÃ»
Valley 9000 Productions,Valley Girl
Filmplan International,Videodrome
Fideline Films,La vie est un roman
Rob Houwer Productions,De vierde man
Metro Filmes,La ville des pirates
Visione Cinematografica,Razza violenta
Films A2,Vivement dimanche!
Parafrance Films,Les voleurs de la nuit
Cinema Overseas,Walking the Edge
United Artists,WarGames
The Rosenfield Company,Wavelength
Golan-Globus Productions,The Wicked Lady
"ZespÃ³l Filmowy ""Silesia""",Wilczyca
Suburbia Productions,Suburbia
Twentieth Century Fox,Without a Trace
S.K. Film Enterprises,Woh 7 Din
Golden Harvest Company,Qi mou miao ji: Wu fu xing
Shaw Brothers,Wu Lang ba gua gun
Shaw Brothers,Wu lin sheng huo jin
Amalgamated Film Enterprises,Xtro
Cinema City Film Productions,Yam yeung choh
McElroy & McElroy,The Year of Living Dangerously
Seagoat Films,Yellowbeard
Ladbroke,Yentl
Success Film Production Company,Yin yang xie di zi
Star Cinema,Young Warriors
Tung Tai FIlm Company,Zai na he pan qing cao qing
A.M.A. Film,Zeder
Jack Rollins & Charles H. Joffe Productions,Zelig
Shaw Brothers,Zhong gui
ChloÃ« Productions,Zig Zag Story
Cinema City & Films Co.,Zui jia pai dang 2: Da xian shen tong
Les Films du Livradois,Ã€ nos amours
SociÃ©tÃ© Nouvelle de CinÃ©matographie (SNC),L'Ã©tÃ© meurtrier
Metro-Goldwyn-Mayer (MGM),2010: The Year We Make Contact
Dieter Geissler Filmproduktion,AbwÃ¤rts
Access Productions (II),Access Code
Intercapital,Acqua e sapone
Swanie Productions,L'addition
Sherwood Productions,The Adventures of Buckaroo Banzai Across the 8th Dimension
Columbia Pictures,Against All Odds
Kinostudiya imeni M. Gorkogo,Akademia pana Kleksa
Filmirage,L'alcova
Tymar Film Productions,Prey
Kings Road Entertainment,All of Me
Dania Film,L'allenatore nel pallone
Almost You,Almost You
AMLF,Amadeus
Northbrook Films,The Ambassador
CBS Theatrical Films,American Dreamer
La Cecilia,L'amour par terre
Philippe Dussart,L'amour Ã  mort
Adams Apple Film Company,Angel
France 3 CinÃ©ma,L'annÃ©e des mÃ©duses
Goldcrest Films International,Another Country
Candice Productions,L'arbalÃ¨te
Centropolis Film Productions,Das Arche Noah Prinzip
Golan-Globus Productions,Roman Za'ir
Bachelor Party Productions,Bachelor Party
Entertainment Concepts,Bad Girls Dormitory
France MÃ©dia,El-haimoune
International Cinema Corporation (ICC),The Bay Boy
Orion Pictures,Beat Street
Film Gallery,Bedroom Eyes
Shaw Brothers,Yuen fan
Cinema Group Ventures,Best Defense
Paramount Pictures,Beverly Hills Cop
P.P. Film Polski,Bez konca
Zwanz,Le big-Bang
Viking Films,Biohazard
A&M Films,Birdy
Metaxa Corporation,Ator 2: L'invincibile Orion
Sherwood Productions,Blame It on Rio
Delphi II Productions,Blame It on the Night
Forminx Corporation,Blind Date
One Of Those Productions,Blood Suckers from Outer Space
Wildwood Productions,Bloodbath at the House of Death
Columbia Pictures,Body Double
New World Pictures,Body Rock
City Films,Bolero
MK2 Productions,Le bon plaisir
Gaumont,Le bon roi Dagobert
Merchant Ivory Productions,The Bostonians
Dino De Laurentiis Company,The Bounty
Abilene,Boy Meets Girl
Golan-Globus Productions,Breakin'
TriStar Pictures,Breakin' 2: Electric Boogaloo
Hemdale,A Breed Apart
Orion Pictures,Broadway Danny Rose
Anarchist's Convention Films,The Brother from Another Planet
Twentieth Century Fox,The Buddy System
Atlas Saskia Film,Der Bulle & das MÃ¤dchen
Crone Film,Busters verden
C.H.U.D. Productions,C.H.U.D.
Lea Productions,Caged Fury
Enigma Productions,Cal
Villealfa Filmproductions,Calamari Union
Effe Kappa S.r.l.,Roma. L'antica chiave dei sensi
GEA Producciones,Camila
Arcafin B.V.,Cannonball Run II
Gaumont,Carmen
Orion Pictures,Cheech & Chong's The Corsican Brothers
Mosfilm,Chelovek-nevidimka
Hal Roach Studios,Children of the Corn
Tartan Productions,Choose Me
Sigma Film Productions,Ciske de Rat
Warner Bros.,City Heat
Universal Pictures,Cloak & Dagger
Ascot Film,Geheimcode WildgÃ¤nse
Lake (Comfort and Joy),Comfort and Joy
Incorporated Television Company (ITC),The Company of Wolves
Dino De Laurentiis Company,Conan the Destroyer
Zoetrope Studios,The Cotton Club
Far West,Country
Adams Apple Film Company,Courage
Universal Pictures,Crackers
New World Pictures,Crimes of Passion
Centar Film,Davitelj protiv davitelja
Aries CinematogrÃ¡fica Argentina,Deathstalker
Fett Film,Decoder
Alpha Productions,Delinquent School Girls
Globe,Delitto al Blue Gay
D & B Productions,Dang doi lai ming
Rapi Films,Golok setan
La CÃ©cilia,La diagonale du fou
East Asia Film Company,Dian tang lang
Universum Film (UFA),Didi - Der DoppelgÃ¤nger
CIM,Dim Sum: A Little Bit of Heart
Central Motion Pictures,Dong dong de jiÃ qi
Zupnik-Curtis Enterprises,Dreamscape
Dino De Laurentiis Company,Dune
Rai 1,E la nave va
Virgin,Electric Dreams
Studio Korumi,Gurikku no bouken
Rai 2,Enrico IV
Capricorn,The Evil That Men Do
Cannon Group,Exterminator 2
Hemdale,The Falcon and the Snowman
Paramount Pictures,Falling in Love
Brent Walker Film Productions,Fanny Hill
Lolafilms,Fanny Pelopaja
Impact Films,Fatal Games
Philippe Dussart,Les favoris de la lune
Twentieth Century Fox,Fear City
Hachette-Fox Productions,La femme publique
Mediterranean Films,Final Justice
CBS Theatrical Films,Finders Keepers
Dino De Laurentiis Company,Firestarter
Paramount Pictures,Firstborn
ABC Motion Pictures,The Flamingo Kid
HBO Pictures,Flashpoint
Amritraj Productions,Fleshburn
Paramount Pictures,Footloose
Det Danske Filminstitut,Forbrydelsens element
Kodiak Films,Forced Entry
Albina Productions S.a.r.l.,Fort Saganne
Cannon Films,Lady Libertine
A.J. Films,Frankenstein 90
Paramount Pictures,Friday the 13th: The Final Chapter
Shanghai Film Studios,Fu rong zhen
Tiber Cinematografica International,Rage - Fuoco incrociato
Faso Film,Il futuro Ã¨ donna
United Artists,Garbo Talks
Sigma Film Productions,Gebroken spiegels
National Film Development Corporation of India (NFDC),Ghare-Baire
Columbia Pictures,Ghostbusters
Concepts Unlimited,Girls Nite Out
MPL Communications,Give My Regards to Broad Street
Georgian-Film,Tsisperi mtebi anu daujerebeli ambavi
The Cannon Group,Grace Quigley
Warner Bros.,Gremlins
Growing Pains Productions,Growing Pains
Les Productions La FÃªte Inc.,La guerre des tuques
New World Pictures,The Gunrunner
Art Theatre Guild (ATG),Gyakufunsha kazoku
Adams Apple Film Company,Hambone and Hillie
Universal Pictures,Hard to Hold
Chroma III Productions,Hardbodies
Orion Pictures,Harry & Son
Jethro Films Production,Heartbreakers
Producers Sales Organization (PSO),Heavenly Bodies
Bedrock Holding,Histoire d'O: Chapitre 2
Zenith Entertainment,The Hit
Hollytubs,Hollywood Hot Tubs
Hot Dog,Hot Dog... The Movie
Woodfall Film Productions,The Hotel New Hampshire
United Artists,The House of God
R.P.A. Cinematografica,La casa del tappeto giallo
Film,Hrafninn flÃ½gur
Guangxi Film Studio,Huang tu di
Continental Movie Productions,Hundra
Metro-Goldwyn-Mayer (MGM),The Ice Pirates
Universal Pictures,Iceman
Jos Stelling Filmprodukties BV,De illusionist
European International Films,Impatto mortale
Duea Film,Impiegati
ABC Motion Pictures,Impulse
Paramount Pictures,Indiana Jones and the Temple of Doom
Trans-Cinema TV,Non c'Ã¨ due senza quattro
Hemdale,Irreconcilable Differences
Edgewood Productions,Johnny Dangerously
Paramount Pictures,Joy of Sex
Cerito Films,Joyeuses PÃ¢ques
Fideline Films,The Twin
Metro-Goldwyn-Mayer (MGM),Just the Way You Are
Nordisk Tonefilm,JÃ¶nssonligan fÃ¥r guldfeber
Columbia Pictures,The Karate Kid
Nibariki,Kaze no tani no Naushika
Art Theatre Guild (ATG),Kazoku gÃªmu
Twentieth Century Fox,Kidco
Goldcrest Films International,The Killing Fields
Lansbury/Beruh Productions,The Clairvoyant
Killpoint,Killpoint
Golden Harvest Company,Kuai can che
Golden Harvest Company,Lassiter
Shere Productions,The Last Horror Film
Flora Film,L'ultimo cacciatore
Lorimar Film Entertainment,The Last Starfighter
Immagine S.r.l.,La leggenda del rubino malese
